FreeCAD 0.17, Libs: 0.17RUnknown
         16482684 function calls (14940014 primitive calls) in 6.992 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 basic.py:5(<module>)
    10058    0.001    0.000    0.001    0.000 {method 'group' of '_sre.SRE_Match' objects}
     1993    0.001    0.000    0.007    0.000 numbers.py:2086(__gt__)
        1    0.001    0.001    0.006    0.006 index_tricks.py:1(<module>)
        1    0.001    0.001    0.015    0.015 numbers.py:1(<module>)
        1    0.001    0.001    0.007    0.007 function.py:31(<module>)
        1    0.001    0.001    0.017    0.017 mul.py:1(<module>)
      362    0.001    0.000    0.004    0.000 __init__.py:2046(<genexpr>)
      336    0.001    0.000    0.120    0.000 pkgutil.py:173(find_module)
     3352    0.001    0.000    0.007    0.000 compatibility.py:120(next)
        1    0.001    0.001    0.010    0.010 inspect.py:25(<module>)
    16063    0.001    0.000    0.001    0.000 {thread.get_ident}
        2    0.001    0.001    0.001    0.001 display.py:2(<module>)
    14731    0.001    0.000    0.001    0.000 {method 'reverse' of 'list' objects}
        1    0.001    0.001    0.015    0.015 _process_posix.py:4(<module>)
     6211    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     2964    0.001    0.000    0.003    0.000 compatibility.py:305(is_sequence)
        1    0.001    0.001    0.024    0.024 interface.py:3(<module>)
      574    0.001    0.000    0.002    0.000 version.py:236(__str__)
        1    0.001    0.001    0.001    0.001 lapack.py:544(<module>)
        2    0.001    0.001    0.003    0.001 __init__.py:17(<module>)
      183    0.001    0.000    0.007    0.000 __init__.py:1606(_get)
      160    0.001    0.000    0.002    0.000 __init__.py:2861(insert_on)
      122    0.001    0.000    0.002    0.000 facts.py:503(deduce_all_facts)
       34    0.001    0.000    0.006    0.000 conflict.py:24(ambiguities)
        1    0.001    0.001    0.003    0.003 python.py:10(<module>)
        3    0.001    0.000    0.003    0.001 __init__.py:24(<module>)
     1049    0.001    0.000    0.003    0.000 __init__.py:2369(yield_lines)
     5706    0.001    0.000    0.001    0.000 boolalg.py:415(<lambda>)
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
     5547    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     5283    0.001    0.000    0.001    0.000 {method 'partition' of 'str' objects}
        6    0.001    0.000    0.008    0.001 util.py:1(<module>)
     4435    0.001    0.000    0.037    0.000 {next}
     8076    0.001    0.000    0.001    0.000 compatibility.py:782(__hash__)
        2    0.001    0.000    0.032    0.016 core.py:389(sphere)
      248    0.001    0.000    0.006    0.000 sre_compile.py:433(_compile_info)
     3442    0.001    0.000    0.001    0.000 stat.py:55(S_ISLNK)
        1    0.001    0.001    0.002    0.002 pretty_symbology.py:1(<module>)
        1    0.001    0.001    0.001    0.001 pickle.py:25(<module>)
        1    0.001    0.001    0.001    0.001 tty.py:1(<module>)
        1    0.001    0.001    0.013    0.013 integrals.py:1(<module>)
        1    0.001    0.001    0.029    0.029 crashhandler.py:8(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:57(<module>)
        1    0.001    0.001    0.003    0.003 simplify.py:1(<module>)
